Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2160     0.00     0.00  TankDrawable* const& std::__get_helper<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> > const&)
  0.00      0.00     0.00     2160     0.00     0.00  std::tuple_element<0ul, std::tuple<TankDrawable*, std::default_delete<TankDrawable> > >::type const& std::get<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::tuple<TankDrawable*, std::default_delete<TankDrawable> > const&)
  0.00      0.00     0.00     1945     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::~unique_ptr()
  0.00      0.00     0.00     1937     0.00     0.00  std::vector<ActorInfo, std::allocator<ActorInfo> >::size() const
  0.00      0.00     0.00     1884     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.00     0.00     1824     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::get() const
  0.00      0.00     0.00     1824     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::_M_ptr() const
  0.00      0.00     0.00     1824     0.00     0.00  std::_Head_base<0ul, Drawable*, false>::_M_head(std::_Head_base<0ul, Drawable*, false> const&)
  0.00      0.00     0.00     1824     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_M_head(std::_Head_base<1ul, std::default_delete<Drawable>, true>&)
  0.00      0.00     0.00     1824     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::get_deleter()
  0.00      0.00     0.00     1824     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_M_head(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.00     0.00     1824     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     1824     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::_M_deleter()
  0.00      0.00     0.00     1824     0.00     0.00  Drawable* const& std::__get_helper<0ul, Drawable*, std::default_delete<Drawable> >(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.00     0.00     1824     0.00     0.00  std::default_delete<Drawable>& std::__get_helper<1ul, std::default_delete<Drawable>>(std::_Tuple_impl<1ul, std::default_delete<Drawable>>&)
  0.00      0.00     0.00     1824     0.00     0.00  std::tuple_element<0ul, std::tuple<Drawable*, std::default_delete<Drawable> > >::type const& std::get<0ul, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.00     0.00     1824     0.00     0.00  std::tuple_element<1ul, std::tuple<Drawable*, std::default_delete<Drawable> > >::type& std::get<1ul, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     1820     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00     1820     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00     1818     0.00     0.00  std::vector<Obstacles*, std::allocator<Obstacles*> >::end()
  0.00      0.00     0.00     1818     0.00     0.00  std::vector<Obstacles*, std::allocator<Obstacles*> >::begin()
  0.00      0.00     0.00     1804     0.00     0.00  __gnu_cxx::__promote_2<int, double, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<int, double>(int, double)
  0.00      0.00     0.00     1785     0.00     0.00  std::_Head_base<0ul, Drawable*, false>::_Head_base<Drawable*&>(Drawable*&)
  0.00      0.00     0.00     1780     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     1685     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00     1685     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00     1685     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00     1685     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     1682     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00     1624     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::__normal_iterator(ActorInfo* const&)
  0.00      0.00     0.00     1594     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00     1572     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1572     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1572     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1572     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.00     0.00     1572     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1563     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1563     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00     1563     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00     1560     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.00     0.00     1560     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00     1560     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     1560     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00     1560     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.00     0.00     1560     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     1440     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::operator->() const
  0.00      0.00     0.00     1374     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00     1374     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1374     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00     1374     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00     1272     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00     1231     0.00     0.00  bool __gnu_cxx::operator!=<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >(__gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&, __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&)
  0.00      0.00     0.00     1231     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00     1231     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00     1174     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::size() const
  0.00      0.00     0.00     1144     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.00     0.00     1135     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00     1113     0.00     0.00  ActorInfo const& std::forward<ActorInfo const&>(std::remove_reference<ActorInfo const&>::type&)
